user |cash|wood#lvl|coal#lvl|stone#lvl|date
sonju|49|0#1 |0#0|0#0| 2022-10-25 19:40:00.712544
sonju|62|0#1 |0#0|0#0| 2022-10-25 19:53:22.831541
sonju|66|1#1 |0#0|0#0| 2022-10-25 19:58:49.996837
sonju|68|0#1 |0#0|0#0| 2022-10-25 20:00:15.681107
sonju|68|1#1 |0#0|0#0| 2022-10-25 20:01:15.209957
sonju|71|0#1 |0#0|0#0| 2022-10-25 20:03:58.325255
sonju|0|0#2 |0#0|0#0| 2022-10-25 20:14:29.174363
sonju|2|0#2 |0#0|0#0| 2022-10-25 20:15:29.229596
sonju|2|2#2 |0#0|0#0| 2022-10-25 20:16:29.272472
sonju|6|0#2 |0#0|0#0| 2022-10-25 20:17:32.273139
sonju|6|2#2 |0#0|0#0| 2022-10-25 20:19:08.582881
